time,symbol,side,current_weight,target_weight,delta_weight,notional,price,cost
2021-04-07T13:30:00+00:00,COP,buy,0.0,0.027027027027027032,0.027027027027027032,2985.1125090403093,43.8278861201,0.5970225018080618
2021-04-07T13:30:00+00:00,DE,buy,0.0,0.027027027027027032,0.027027027027027032,2985.1125090403093,351.85016345,0.5970225018080618
2021-04-07T13:30:00+00:00,USB,buy,0.0,0.02702702702702702,0.02702702702702702,2985.112509040308,45.480417899,0.5970225018080616
2021-04-07T13:30:00+00:00,VOO,sell,1.0,0.918918918918919,-0.08108108108108103,8955.33752712092,347.448703285,1.791067505424184
2021-07-07T13:30:00+00:00,COP,sell,0.028985572508343785,0.02702702702702702,-0.0019585454813167633,231.0278067234627,50.2014639879,0.04620556134469254
2021-07-07T13:30:00+00:00,DE,sell,0.02352278674195769,0.0,-0.02352278674195769,2774.7212821244166,327.062312743,0.5549442564248833
2021-07-07T13:30:00+00:00,NVDA,buy,0.0,0.027027027027027032,0.027027027027027032,3188.077497241402,20.8058429275,0.6376154994482804
2021-07-07T13:30:00+00:00,UPS,buy,0.0,0.027027027027027032,0.027027027027027032,3188.077497241402,168.582821618,0.6376154994482804
2021-07-07T13:30:00+00:00,USB,sell,0.02511715217027594,0.0,-0.02511715217027594,2962.790822267256,45.1417943928,0.5925581644534512
2021-07-07T13:30:00+00:00,VOO,sell,0.9223744885794227,0.918918918918919,-0.0034555696605037545,407.6150833676788,372.480066136,0.08152301667353576
2021-10-05T13:30:00+00:00,AMD,buy,0.0,0.02702702702702702,0.02702702702702702,3176.134660029405,100.919998169,0.635226932005881
2021-10-05T13:30:00+00:00,COP,sell,0.03284813235442418,0.0,-0.03284813235442418,3860.2133924604386,60.7866508528,0.7720426784920877
2021-10-05T13:30:00+00:00,LLY,buy,0.0,0.027027027027027032,0.027027027027027032,3176.134660029406,216.702166715,0.6352269320058812
2021-10-05T13:30:00+00:00,NVDA,sell,0.02595728812753349,0.0,-0.02595728812753349,3050.4221725824696,19.9079153254,0.6100844345164939
2021-10-05T13:30:00+00:00,TSLA,buy,0.0,0.027027027027027032,0.027027027027027032,3176.134660029406,261.600006104,0.6352269320058812
2021-10-05T13:30:00+00:00,UPS,sell,0.023034411462863908,0.0,-0.023034411462863908,2706.934526961486,143.143486307,0.5413869053922972
2021-10-05T13:30:00+00:00,VOO,buy,0.9181601680551784,0.918918918918919,0.0007587508637405538,89.166111916184,370.78633343,0.0178332223832368
