feature,gain,split
ma_50_200,1796.4243927001953,9
beta_63,1550.201919555664,7
amihud_20,1047.7388038635254,20
vol_63,927.9534997940063,22
log_ret_252,871.848991394043,12
vol_20,783.4382095336914,7
corr_63,325.0032014846802,10
distance_to_63d_low,216.02970123291016,6
residual_log_ret_21,180.4512004852295,5
excess_log_ret_126,103.42689895629883,4
benchmark_vol_20,85.12689971923828,3
distance_to_63d_high,57.06489944458008,2
excess_log_ret_21,49.083099365234375,1
log_ret_126,36.82600021362305,1
residual_log_ret_63,23.50589942932129,1
ma_20_50,22.604299545288086,1
log_ret_21,13.019100189208984,1
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_63,0.0,0
excess_log_ret_5,0.0,0
excess_log_ret_63,0.0,0
downside_vol_20,0.0,0
return_to_vol_21,0.0,0
return_to_vol_63,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
