decision_time,execution_time,active_symbols,benchmark_weight,active_weight,turnover_distance,execution_cost,target_weights
2024-04-03T13:30:00+00:00,2024-04-04T13:30:00+00:00,ADBE;BA;TSLA,0.918918918918919,0.08108108108108103,0.08108108108108106,3.607445508494964,"{""ADBE"": 0.02702702702702702, ""BA"": 0.027027027027027032, ""TSLA"": 0.027027027027027032, ""VOO"": 0.918918918918919}"
2024-07-03T13:30:00+00:00,2024-07-05T13:30:00+00:00,CVS;NKE;SBUX,0.918918918918919,0.08108108108108103,0.09082377222462358,4.319455007533475,"{""CVS"": 0.027027027027027032, ""NKE"": 0.02702702702702702, ""SBUX"": 0.027027027027027032, ""VOO"": 0.918918918918919}"
2024-10-02T13:30:00+00:00,2024-10-03T13:30:00+00:00,AMD;BA;LRCX,0.918918918918919,0.08108108108108103,0.08992340175549587,4.4547317442126735,"{""AMD"": 0.027027027027027032, ""BA"": 0.027027027027027032, ""LRCX"": 0.02702702702702702, ""VOO"": 0.918918918918919}"
