feature,gain,split
beta_63,4079.4190635681152,14
log_ret_252,3169.136013031006,22
vol_63,1497.4686965942383,21
amihud_20,1284.2726097106934,17
excess_log_ret_126,1012.1977958679199,5
distance_to_63d_high,443.65870666503906,4
corr_63,392.278600692749,8
ma_50_200,379.52330017089844,7
residual_log_ret_63,245.51559829711914,4
distance_to_63d_low,238.9458999633789,3
log_ret_126,221.82940292358398,3
benchmark_vol_20,121.33539962768555,2
vol_20,31.80109977722168,1
return_to_vol_63,28.712400436401367,1
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_21,0.0,0
log_ret_63,0.0,0
excess_log_ret_5,0.0,0
excess_log_ret_21,0.0,0
excess_log_ret_63,0.0,0
downside_vol_20,0.0,0
return_to_vol_21,0.0,0
residual_log_ret_21,0.0,0
ma_20_50,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
