feature,gain,split
vol_63,961.0815238952637,4
log_ret_252,364.2283020019531,6
beta_63,209.92609405517578,4
log_ret_126,134.6879997253418,2
corr_63,116.38229942321777,5
ma_50_200,98.87919998168945,3
distance_to_63d_low,29.642000198364258,2
residual_log_ret_63,14.518899917602539,1
excess_log_ret_126,11.9266996383667,1
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_21,0.0,0
log_ret_63,0.0,0
excess_log_ret_5,0.0,0
excess_log_ret_21,0.0,0
excess_log_ret_63,0.0,0
vol_20,0.0,0
downside_vol_20,0.0,0
return_to_vol_21,0.0,0
return_to_vol_63,0.0,0
residual_log_ret_21,0.0,0
distance_to_63d_high,0.0,0
ma_20_50,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
amihud_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
benchmark_vol_20,0.0,0
