symbol,event_time,log_ret_1,log_ret_5,log_ret_10,log_ret_21,log_ret_63,log_ret_126,log_ret_252,excess_log_ret_5,excess_log_ret_21,excess_log_ret_63,excess_log_ret_126,vol_20,vol_63,downside_vol_20,return_to_vol_21,return_to_vol_63,beta_63,corr_63,residual_log_ret_21,residual_log_ret_63,distance_to_63d_high,distance_to_63d_low,ma_20_50,ma_50_200,volume_z_20,dollar_volume_z_20,amihud_20,gap_pct,intraday_ret,benchmark_log_ret_21,benchmark_vol_20,expected_score
AAPL,2016-01-04 14:30:00+00:00,0.0008546417860482158,-0.0251205844859288,-0.033876320200747045,-0.09871282452103047,-0.04236962190883231,-0.17020601923634615,-0.020187758368242825,-0.0025890924606639665,-0.06805649513526069,-0.07894037727831149,-0.1532583890953667,0.2542526418943767,0.24913681905022358,0.14858950792002149,-0.38824699631651577,-0.17006567744726245,1.0416552304016111,0.6261168212026351,-0.06677949867142877,-0.0804637405191881,-0.1368118352556854,0.0008550070964019607,-0.03636586998536895,-0.03582689100759384,1.2652759829208402,1.0718572433880145,3.2024058878820362e-12,-0.02517575342657863,0.026703029407075807,-0.030656329385769787,0.1857720295541048,0.0015428991898820512
CMCSA,2016-01-11 14:30:00+00:00,0.0009145242362782469,-0.016673003925366636,-0.04163100886532245,-0.06389469924320501,-0.09580844077883732,-0.14356235803135364,-0.01101298439571785,0.02951906986889785,-0.002171782314631443,-0.05409223314182032,-0.06581328628110272,0.17777354912455512,0.17797133833478065,0.1296741879388637,-0.35941623238020565,-0.5383363505342232,0.8900779049310075,0.7760548554580584,-0.008956494657189638,-0.05867776608361434,-0.1283932538074264,0.002014719636507456,-0.047434135382165454,0.007592167100823666,-0.21857352057100785,-0.047895160084212775,1.6928451589538454e-11,0.003841570907521019,-0.0029154285409802583,-0.06172291692857357,0.19194667166915022,0.0015428991898820512
JNJ,2016-01-19 14:30:00+00:00,0.005141677088135843,-0.0007174585979745629,-0.030106463564052,-0.07648609604683365,-0.0002161159365927645,-0.014045446895190494,-0.035716722198088746,0.020240112704188462,0.018648970693759814,0.07119616607990054,0.09793263258686213,0.17320233576007343,0.15439329489485729,0.10106042022282896,-0.44159967999961125,-0.0013997754030700665,0.7931057579995754,0.864990152340781,-0.0010339268271950808,0.0564213761225776,-0.0736342056541004,0.006442765390654026,-0.007455833853880489,0.03400955634672376,1.315778214573919,1.1434678734504389,1.5936162178872986e-11,0.00958791226118283,-0.004390894555557634,-0.09513506674059347,0.2031594331537764,-0.0010268398199436005
PEP,2016-01-26 14:30:00+00:00,0.0039529373384850075,0.0057263796077346996,-0.011561008659712435,-0.04387387184776781,-0.05452304797254115,0.021583865115409218,0.004424730408521427,-0.006155590001945654,0.035674621274915275,0.026367274700137777,0.0938518924273044,0.17794652305925596,0.15396148347600092,0.10834643727944548,-0.24655649963533072,-0.35413433763802393,0.6564429707721371,0.7431739639836646,0.008345177298133194,-0.0014231642505710407,-0.057755053638778975,0.027194461925062585,-0.012112837754641781,0.02970145004359348,-0.9398913493596763,-0.8961507708038361,2.3138066860193635e-11,-0.00031270222969281836,0.00427479946906395,-0.07954849312268308,0.2141075297177028,0.001036283453511209
WMT,2016-02-02 14:30:00+00:00,-0.009526586277842863,0.04371821862621994,0.06647478818428798,0.08682082867510088,0.16368951557767275,-0.06141588188579972,-0.22094246935446726,0.04389053512705354,0.1563758740921135,0.2465375391906086,0.02547775788738571,0.28180106615180955,0.22071088722524168,0.1632947805122532,0.3080926195940277,0.7416467653026241,0.6042826781118812,0.5065578895495451,0.1288517377958868,0.213753141162774,-0.009481352111148311,0.19496664286643006,0.037131316489649846,-0.07739404660547688,-0.12234591008936681,0.18067790743878182,2.0992166377898264e-11,-0.002962881403743567,-0.006537841556573221,-0.06955504541701263,0.23729098265239762,0.0031067922008550064
CAT,2016-02-10 14:30:00+00:00,-0.02839893153168438,-0.0180212129488857,0.06344502224346193,0.02328319474920093,-0.13330472876601718,-0.20427539462627298,-0.25923413646841453,0.013898618931588391,0.058617876750295395,-0.02332106727979255,-0.09666470392225524,0.4332144765225812,0.3361131249095393,0.22257312697583057,0.05374519091812321,-0.39660673412231223,1.11128278351159,0.6210076785754044,0.06255001851787406,-0.011081779288809018,-0.13395718866491224,0.0730444549867364,-0.04661604353771476,-0.1209904996395833,-1.1674203951460462,-1.3118186649395538,5.3989302206561814e-11,0.005318173020438799,-0.033141393568864475,-0.035334682001094464,0.2284693719823462,0.012169303079742962
INTU,2016-02-18 14:30:00+00:00,-0.01940196003909911,0.06653763579229732,0.006030237099275304,0.059692538761912495,-0.0013271505512415516,-0.08513264136945864,0.08350969546915721,0.03052154564056142,0.03805355930910803,0.06082878832153504,-0.007389460478997911,0.35293824042110505,0.30311431624146873,0.2468143000181782,0.16913026678744383,-0.004378382940462334,1.1770905795726583,0.7582860146819311,0.03422149989645004,0.07183601956039777,-0.06229174751066824,0.07034298323436805,-0.014050834257555267,-0.02439361506141391,-0.043877990169568754,0.20048153723749354,1.1873215220035614e-10,-0.0057948648119576784,-0.013498309463705116,0.021638979452804463,0.21943427516849784,0.0072357622982515465
NVDA,2016-02-25 14:30:00+00:00,0.0021972879249717026,0.05976239880689149,0.22636297610623274,0.10539515242637282,0.03088919004181412,0.4564469876166307,0.37751324715732415,0.041754845429316734,0.07763058920567395,0.09181739015476487,0.40096149827740557,0.5305422994530088,0.39477087786878523,0.41607507838240715,0.1986555125482655,0.07824586810600839,1.37302306285198,0.6883807925317742,0.06727376679434142,0.1145450139749561,-0.05511143182055567,0.2644726563588615,-0.05147770280627717,0.16957629632459748,-0.49057643396385897,-0.1462417875512297,6.976295147258229e-11,0.003771078263685723,-0.0015654710187867904,0.027764563220698868,0.20489990632406016,0.026711247398105382
V,2016-03-03 14:30:00+00:00,-0.005262789703622595,0.008697225478239368,0.036793879044751954,0.008894906410047199,-0.07608140376401273,0.07308796292535558,0.08407952961333098,-0.012710394535992542,-0.04044959332571718,-0.028715400318946926,0.019414695751303945,0.33664804232733275,0.30619187973385276,0.24408132073778066,0.026421975748186353,-0.2484762294484883,1.2477559239638423,0.8320156546756129,-0.05267498545028505,-0.01698019237094011,-0.07890771156104048,0.09275249557852461,-0.021459930585919218,0.004342114279779485,-0.6341131491297285,-0.7920448058188773,2.4465450547254655e-11,0.002422631833392419,-0.007653056782244483,0.04934449973576438,0.19375989894203663,0.0015428991898820512
BMY,2016-03-11 14:30:00+00:00,0.0003075057354409161,0.003855372377706612,0.042612792713522474,0.06158675356839671,-0.048474430567175375,0.11224011831461178,-0.0025949507137279504,-0.008044130915585423,-0.02895972724423901,-0.041963312450143064,0.06592200605122,0.26088150506212965,0.2727624253698896,0.1154406348651443,0.2360717504820039,-0.17771667230719124,1.0109233508529303,0.7429558688366578,-0.029948798222653547,-0.04189218922250585,-0.0762852565858283,0.10344779596062037,0.0073645909044743885,-0.011464845749286412,0.8309096325351545,0.9207457660696771,4.620553683378066e-11,0.003695312962537667,-0.003375287199819832,0.09054648081263572,0.16683227795099592,0.007549779132426463
IBM,2016-03-18 13:30:00+00:00,0.0003399919990627609,0.032685801377899004,0.06524139307775378,0.10483991606185139,0.06464969229246087,0.012386154106368785,-0.04763557325872192,0.019492221394677323,0.03711594541772989,0.07042180893612837,-0.027712941905929434,0.17262913130164195,0.2560520031764992,0.09762045254248317,0.6073130025700025,0.25248657104977695,0.8199104730729142,0.620286448537526,0.04931232325265358,0.06938231118040233,0.0,0.24811204457815417,0.06056506856815003,-0.08503608424350784,3.9860828803027606,3.599771752194127,2.3939441098705017e-11,0.0024483506099746144,-0.002103151554689431,0.0677239706441215,0.14222406707687427,0.001036283453511209
NKE,2016-03-28 13:30:00+00:00,-0.0050411538104411235,-0.026543854253515242,0.020755324833080735,-0.014237607342592273,-0.04540772781376923,0.07147086432735827,0.22138685139606729,-0.02111961063699841,-0.05852978099262218,-0.03791597156181492,0.007594488802179722,0.29202961810943734,0.29992307119245215,0.19927463981928384,-0.0487539840471139,-0.15139791558293417,0.9021532769284253,0.5560718108940041,-0.05419593694324961,-0.03864901536111963,-0.054853570067046165,0.11733536768482056,0.021695708005965653,0.00919694127803683,-0.5765687748397453,-0.6238728075720258,2.69991921868093e-11,-0.0011354975873172357,-0.0038973964166004738,0.04429217365002991,0.12429348053281843,0.002784522278970755
