date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2015-01-02,464,77,387,0.16594827586206898
2015-01-05,464,77,387,0.16594827586206898
2015-01-06,464,77,387,0.16594827586206898
2015-01-07,464,77,387,0.16594827586206898
2015-01-08,464,77,387,0.16594827586206898
2015-01-09,464,77,387,0.16594827586206898
2015-01-12,464,77,387,0.16594827586206898
2015-01-13,464,77,387,0.16594827586206898
2015-01-14,464,77,387,0.16594827586206898
2015-01-15,464,77,387,0.16594827586206898
2015-01-16,462,77,385,0.16666666666666666
2015-01-20,462,77,385,0.16666666666666666
2015-01-21,462,77,385,0.16666666666666666
2015-01-22,462,77,385,0.16666666666666666
2015-01-23,462,77,385,0.16666666666666666
2015-01-26,462,77,385,0.16666666666666666
2015-01-27,464,77,387,0.16594827586206898
2015-01-28,464,77,387,0.16594827586206898
2015-01-29,464,77,387,0.16594827586206898
2015-01-30,464,77,387,0.16594827586206898
2015-02-02,464,77,387,0.16594827586206898
2015-02-03,464,77,387,0.16594827586206898
2015-02-04,464,77,387,0.16594827586206898
2015-02-05,464,77,387,0.16594827586206898
2015-02-06,464,77,387,0.16594827586206898
2015-02-09,464,77,387,0.16594827586206898
2015-02-10,464,77,387,0.16594827586206898
2015-02-11,464,77,387,0.16594827586206898
2015-02-12,464,77,387,0.16594827586206898
2015-02-13,464,77,387,0.16594827586206898
2015-02-17,464,77,387,0.16594827586206898
2015-02-18,464,77,387,0.16594827586206898
2015-02-19,464,77,387,0.16594827586206898
2015-02-20,464,77,387,0.16594827586206898
2015-02-23,464,77,387,0.16594827586206898
2015-02-24,464,77,387,0.16594827586206898
2015-02-25,464,77,387,0.16594827586206898
2015-02-26,464,77,387,0.16594827586206898
2015-02-27,464,77,387,0.16594827586206898
2015-03-02,464,77,387,0.16594827586206898
2015-03-03,464,77,387,0.16594827586206898
2015-03-04,464,77,387,0.16594827586206898
2015-03-05,464,77,387,0.16594827586206898
2015-03-06,464,77,387,0.16594827586206898
2015-03-09,464,77,387,0.16594827586206898
2015-03-10,464,77,387,0.16594827586206898
2015-03-11,464,77,387,0.16594827586206898
2015-03-12,464,77,387,0.16594827586206898
2015-03-13,464,77,387,0.16594827586206898
2015-03-16,463,77,386,0.16630669546436286
