decision_time,execution_time,active_symbols,benchmark_weight,active_weight,turnover_distance,execution_cost,target_weights
2018-04-04T13:30:00+00:00,2018-04-05T13:30:00+00:00,AMAT;BA;CAT,0.918918918918919,0.08108108108108103,0.08108108108108106,3.2160140041588114,"{""AMAT"": 0.027027027027027032, ""BA"": 0.027027027027027032, ""CAT"": 0.027027027027027018, ""VOO"": 0.918918918918919}"
2018-07-03T13:30:00+00:00,2018-07-05T13:30:00+00:00,AMD;AMZN;NFLX,0.918918918918919,0.08108108108108103,0.08108108108108103,3.2843323870278516,"{""AMD"": 0.027027027027027032, ""AMZN"": 0.027027027027027032, ""NFLX"": 0.02702702702702702, ""VOO"": 0.918918918918919}"
2018-10-02T13:30:00+00:00,2018-10-03T13:30:00+00:00,AMD;ISRG;NFLX,0.918918918918919,0.08108108108108103,0.04852630020336815,2.1666191532274066,"{""AMD"": 0.02702702702702702, ""ISRG"": 0.027027027027027032, ""NFLX"": 0.027027027027027032, ""VOO"": 0.918918918918919}"
