time,equity,benchmark_equity,benchmark_weight,active_weight,active_symbols,weights
2020-01-02T14:30:00+00:00,100000.0,100000.0,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-03T14:30:00+00:00,99269.44700320212,99269.44700320212,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-06T14:30:00+00:00,99641.4352960219,99641.4352960219,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-07T14:30:00+00:00,99366.64455949805,99366.64455949805,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-08T14:30:00+00:00,99879.32238712262,99879.32238712262,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-09T14:30:00+00:00,100569.63828943763,100569.63828943763,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-10T14:30:00+00:00,100281.4913066854,100281.4913066854,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-13T14:30:00+00:00,100944.94880779342,100944.94880779342,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-14T14:30:00+00:00,100810.91494868766,100810.91494868766,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-15T14:30:00+00:00,101035.4233465126,101035.4233465126,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-16T14:30:00+00:00,101879.89726693665,101879.89726693665,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-17T14:30:00+00:00,102225.03838244083,102225.03838244083,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-21T14:30:00+00:00,102013.95357345759,102013.95357345759,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-22T14:30:00+00:00,102040.75585594281,102040.75585594281,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-23T14:30:00+00:00,102141.25319072734,102141.25319072734,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-24T14:30:00+00:00,101209.69430010115,101209.69430010115,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-27T14:30:00+00:00,99601.22064858643,99601.22064858643,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-28T14:30:00+00:00,100680.22576326855,100680.22576326855,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-29T14:30:00+00:00,100579.70598070108,100579.70598070108,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-30T14:30:00+00:00,100894.68891687742,100894.68891687742,1.0,0.0,,"{""VOO"": 1.0}"
2020-01-31T14:30:00+00:00,99085.14202892112,99085.14202892112,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-03T14:30:00+00:00,99805.64978187068,99805.64978187068,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-04T14:30:00+00:00,101343.7169356832,101343.7169356832,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-05T14:30:00+00:00,102489.73897955044,102489.73897955044,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-06T14:30:00+00:00,102838.2696635717,102838.2696635717,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-07T14:30:00+00:00,102315.49047337702,102315.49047337702,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-10T14:30:00+00:00,103049.36569607866,103049.36569607866,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-11T14:30:00+00:00,103237.03779109375,103237.03779109375,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-12T14:30:00+00:00,103900.50651609323,103900.50651609323,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-13T14:30:00+00:00,103799.96428611058,103799.96428611058,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-14T14:30:00+00:00,103974.22401617549,103974.22401617549,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-18T14:30:00+00:00,103689.42170710997,103689.42170710997,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-19T14:30:00+00:00,104188.70961719949,104188.70961719949,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-20T14:30:00+00:00,103779.89624546136,103779.89624546136,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-21T14:30:00+00:00,102704.20213315933,102704.20213315933,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-24T14:30:00+00:00,99269.44700320212,99269.44700320212,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-25T14:30:00+00:00,96287.08701278485,96287.08701278485,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-26T14:30:00+00:00,95861.51660277757,95861.51660277757,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-27T14:30:00+00:00,91612.49062692231,91612.49062692231,1.0,0.0,,"{""VOO"": 1.0}"
2020-02-28T14:30:00+00:00,91059.55886897772,91059.55886897772,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-02T14:30:00+00:00,95124.29670675698,95124.29670675698,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-03T14:30:00+00:00,92500.48458484837,92500.48458484837,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-04T14:30:00+00:00,96334.00223074964,96334.00223074964,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-05T14:30:00+00:00,93107.00968350415,93107.00968350415,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-06T14:30:00+00:00,91545.43441411703,91545.43441411703,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-09T13:30:00+00:00,84481.57954765133,84481.57954765133,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-10T13:30:00+00:00,88817.23593272403,88817.23593272403,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-11T13:30:00+00:00,84413.58054120232,84413.58054120232,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-12T13:30:00+00:00,76249.30005960721,76249.30005960721,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-13T13:30:00+00:00,83373.25803410067,83373.25803410067,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-16T13:30:00+00:00,73586.24414400334,73586.24414400334,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-17T13:30:00+00:00,78404.01051048287,78404.01051048287,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-18T13:30:00+00:00,74118.17067923294,74118.17067923294,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-19T13:30:00+00:00,74182.13475223182,74182.13475223182,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-20T13:30:00+00:00,70950.09152406907,70950.09152406907,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-23T13:30:00+00:00,68771.84489825791,68771.84489825791,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-24T13:30:00+00:00,75330.19951639602,75330.19951639602,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-25T13:30:00+00:00,76296.44536403716,76296.44536403716,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-26T13:30:00+00:00,80881.9028362447,80881.9028362447,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-27T13:30:00+00:00,78397.27626864682,78397.27626864682,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-30T13:30:00+00:00,80932.40964983085,80932.40964983085,1.0,0.0,,"{""VOO"": 1.0}"
2020-03-31T13:30:00+00:00,79730.48217523786,79730.48217523786,1.0,0.0,,"{""VOO"": 1.0}"
2020-04-01T13:30:00+00:00,76138.20190570198,76138.20190570198,1.0,0.0,,"{""VOO"": 1.0}"
2020-04-02T13:30:00+00:00,77919.18438448511,77919.18438448511,1.0,0.0,,"{""VOO"": 1.0}"
2020-04-03T13:30:00+00:00,76708.79560731644,76767.78617089344,0.9195957598389407,0.08040424016105929,AVGO;COP;LOW,"{""AVGO"": 0.02705790085254365, ""COP"": 0.0259902449704219, ""LOW"": 0.027356094338093825, ""VOO"": 0.9195957598389407}"
2020-04-06T13:30:00+00:00,81829.14567786292,81989.5397023455,0.9206902387403881,0.07930976125961187,AVGO;COP;LOW,"{""AVGO"": 0.02733326145522715, ""COP"": 0.024282497768260334, ""LOW"": 0.027694002036124384, ""VOO"": 0.9206902387403881}"
2020-04-07T13:30:00+00:00,81961.09719597336,82033.30666214993,0.9196986769570463,0.08030132304295368,AVGO;COP;LOW,"{""AVGO"": 0.027378979463808486, ""COP"": 0.024590794320875752, ""LOW"": 0.02833154925826941, ""VOO"": 0.9196986769570463}"
2020-04-08T13:30:00+00:00,84821.44913628571,84817.57893006632,0.9188471893615784,0.08115281063842161,AVGO;COP;LOW,"{""AVGO"": 0.027273601654702672, ""COP"": 0.025482771284800962, ""LOW"": 0.028396437698917885, ""VOO"": 0.9188471893615784}"
2020-04-09T13:30:00+00:00,85885.18272944028,86076.73623618999,0.9209385550209549,0.0790614449790451,AVGO;COP;LOW,"{""AVGO"": 0.02623429426664232, ""COP"": 0.024497066871854677, ""LOW"": 0.028330083840548137, ""VOO"": 0.9209385550209549}"
2020-04-13T13:30:00+00:00,85138.89721492349,85241.79126796203,0.919999633527654,0.08000036647234599,AVGO;COP;LOW,"{""AVGO"": 0.02704910214910899, ""COP"": 0.0244058359641394, ""LOW"": 0.028545428359097572, ""VOO"": 0.919999633527654}"
2020-04-14T13:30:00+00:00,87684.06369863027,87844.26706713832,0.9205679745979682,0.07943202540203176,AVGO;COP;LOW,"{""AVGO"": 0.02704302976449081, ""COP"": 0.02354542375435444, ""LOW"": 0.028843571883186463, ""VOO"": 0.9205679745979682}"
2020-04-15T13:30:00+00:00,85601.94071950416,85931.9612615268,0.9224317026969252,0.0775682973030748,AVGO;COP;LOW,"{""AVGO"": 0.02664610022815044, ""COP"": 0.022787663925282135, ""LOW"": 0.028134533149642153, ""VOO"": 0.9224317026969252}"
2020-04-16T13:30:00+00:00,85891.58881895791,86366.26373810116,0.9239673039250521,0.07603269607494789,AVGO;COP;LOW,"{""AVGO"": 0.02664392611328759, ""COP"": 0.021913821669119073, ""LOW"": 0.027474948292541195, ""VOO"": 0.9239673039250521}"
2020-04-17T13:30:00+00:00,88521.9264788712,88749.89912667747,0.9212555533997918,0.07874444660020818,AVGO;COP;LOW,"{""AVGO"": 0.02661191038162737, ""COP"": 0.024130095841344568, ""LOW"": 0.02800244037723629, ""VOO"": 0.9212555533997918}"
2020-04-20T13:30:00+00:00,86893.02358652245,87150.7131170022,0.921614169261688,0.07838583073831196,AVGO;COP;LOW,"{""AVGO"": 0.026335841364223716, ""COP"": 0.02410138454038181, ""LOW"": 0.027948604833706345, ""VOO"": 0.921614169261688}"
2020-04-21T13:30:00+00:00,84217.84953863986,84487.64597713908,0.9218328271530006,0.07816717284699937,AVGO;COP;LOW,"{""AVGO"": 0.0260540570726407, ""COP"": 0.02387430405264084, ""LOW"": 0.028238811721717834, ""VOO"": 0.9218328271530006}"
2020-04-22T13:30:00+00:00,86202.96392077864,86346.07784843034,0.9204146533695758,0.07958534663042416,AVGO;COP;LOW,"{""AVGO"": 0.026720359243795563, ""COP"": 0.02458244410505759, ""LOW"": 0.028282543281571055, ""VOO"": 0.9204146533695758}"
2020-04-23T13:30:00+00:00,86249.69227654698,86329.24224402422,0.9197366275646602,0.08026337243533976,AVGO;COP;LOW,"{""AVGO"": 0.026599044023172074, ""COP"": 0.02541198456972308, ""LOW"": 0.028252343842444613, ""VOO"": 0.9197366275646602}"
2020-04-24T13:30:00+00:00,87546.03232709637,87581.66530831187,0.9192631223401881,0.08073687765981186,AVGO;COP;LOW,"{""AVGO"": 0.02680026897177788, ""COP"": 0.024973418241069068, ""LOW"": 0.028963190446964923, ""VOO"": 0.9192631223401881}"
2020-04-27T13:30:00+00:00,88888.393560126,88847.55685627153,0.9184669642602515,0.08153303573974846,AVGO;COP;LOW,"{""AVGO"": 0.02675837123822467, ""COP"": 0.02531870136533119, ""LOW"": 0.02945596313619265, ""VOO"": 0.9184669642602515}"
2020-04-28T13:30:00+00:00,88598.35467644576,88436.79055463267,0.917213469754076,0.08278653024592397,AVGO;COP;LOW,"{""AVGO"": 0.02647395219425098, ""COP"": 0.026310981013847035, ""LOW"": 0.030001597037825994, ""VOO"": 0.917213469754076}"
2020-04-29T13:30:00+00:00,91086.53234216588,90716.062030772,0.9151517783804898,0.08484822161951022,AVGO;COP;LOW,"{""AVGO"": 0.02684897208968928, ""COP"": 0.02807297863947135, ""LOW"": 0.029926270890349726, ""VOO"": 0.9151517783804898}"
