feature,gain,split
vol_63,2308.078351020813,22
beta_63,976.4199991226196,8
log_ret_252,827.5482864379883,19
amihud_20,788.4068965911865,22
ma_50_200,400.71409797668457,14
corr_63,355.4499931335449,9
vol_20,254.60120010375977,5
log_ret_126,110.28020095825195,3
return_to_vol_21,65.77019882202148,3
downside_vol_20,58.103501319885254,2
benchmark_vol_20,48.04051971435547,4
excess_log_ret_126,44.268999099731445,3
ma_20_50,37.36590099334717,2
distance_to_63d_high,34.3902006149292,2
residual_log_ret_63,30.716310501098633,2
residual_log_ret_21,29.641698837280273,2
log_ret_63,26.918498992919922,2
excess_log_ret_21,26.668060302734375,2
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_21,0.0,0
excess_log_ret_5,0.0,0
excess_log_ret_63,0.0,0
return_to_vol_63,0.0,0
distance_to_63d_low,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
