fold,selection_rows,selection_dates,unique_selected_symbols,mega_cap_selection_rows,mega_cap_target_weight_share,mean_label_excess,positive_label_excess_rate,decision_rows,mean_active_weight,total_return,benchmark_return,excess_return,num_alpha_symbols_traded
2018,12,4,9,3,0.25,0.06739511455740109,0.5833333333333334,3,0.081081081081081,-0.05086140677215223,-0.0519636993578424,0.0011022925856901677,7
2019,12,4,12,0,0.0,-0.014855469663402085,0.25,3,0.081081081081081,0.3193588854884435,0.31262216009475696,0.006736725393686527,9
2020,15,5,12,8,0.5333333333333331,0.06584587292329132,0.5333333333333333,3,0.081081081081081,0.19506012798500305,0.17285507945467926,0.02220504853032379,7
2021,12,4,11,4,0.33333333333333337,0.010700702166533847,0.3333333333333333,3,0.081081081081081,0.32309499735748637,0.3056474089753358,0.017447588382150547,8
2022,12,4,9,4,0.3333333333333332,0.002697656448536994,0.4166666666666667,3,0.081081081081081,-0.17716607444329713,-0.18673284519484412,0.009566770751546994,7
2023,12,4,8,8,0.666666666666667,0.09352974416437536,0.6666666666666666,3,0.081081081081081,0.2918020398205068,0.26811131496023655,0.02369072486027024,6
2024,12,4,8,8,0.6666666666666667,0.00033572326093532734,0.25,3,0.081081081081081,0.29094129102433297,0.2577941551577565,0.03314713586657647,6
2025,12,4,9,1,0.08333333333333338,0.1063219817590032,0.5833333333333334,3,0.081081081081081,0.22238822146087456,0.18119294806245856,0.041195273398416,7
2026,6,2,5,1,0.1666666666666668,0.04330263122515512,0.16666666666666666,1,0.081081081081081,0.15003787578256023,0.11332340967682053,0.036714466105739696,3
