feature,gain,split
vol_63,4171.903192520142,48
log_ret_252,2046.1091976165771,43
amihud_20,1825.8393936157227,57
ma_50_200,1702.3990983963013,39
beta_63,1610.8119821548462,38
log_ret_126,1387.5761947631836,35
excess_log_ret_126,1062.537386894226,23
corr_63,1030.5282955169678,38
vol_20,318.3510980606079,13
distance_to_63d_low,294.11259746551514,8
residual_log_ret_21,152.25220203399658,6
downside_vol_20,109.77769947052002,5
excess_log_ret_63,99.52229881286621,5
ma_20_50,85.51399993896484,4
residual_log_ret_63,82.37819862365723,4
log_ret_63,80.1171989440918,3
return_to_vol_63,67.60619831085205,2
distance_to_63d_high,61.67930030822754,3
benchmark_vol_20,58.64799976348877,3
excess_log_ret_21,14.687199592590332,1
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_21,0.0,0
excess_log_ret_5,0.0,0
return_to_vol_21,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
