date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2015-09-01,500,77,423,0.154
2015-09-02,500,77,423,0.154
2015-09-03,501,77,424,0.1536926147704591
2015-09-04,500,77,423,0.154
2015-09-08,500,77,423,0.154
2015-09-09,500,77,423,0.154
2015-09-10,500,77,423,0.154
2015-09-11,500,77,423,0.154
2015-09-14,500,77,423,0.154
2015-09-15,500,77,423,0.154
2015-09-16,500,77,423,0.154
2015-09-17,500,77,423,0.154
2015-09-18,500,77,423,0.154
2015-09-21,503,77,426,0.15308151093439365
2015-09-22,503,77,426,0.15308151093439365
2015-09-23,503,77,426,0.15308151093439365
2015-09-24,503,77,426,0.15308151093439365
2015-09-25,503,77,426,0.15308151093439365
2015-09-28,503,77,426,0.15308151093439365
2015-09-29,503,77,426,0.15308151093439365
2015-09-30,503,77,426,0.15308151093439365
2015-10-01,503,77,426,0.15308151093439365
2015-10-02,503,77,426,0.15308151093439365
2015-10-05,503,77,426,0.15308151093439365
2015-10-06,503,77,426,0.15308151093439365
2015-10-07,503,77,426,0.15308151093439365
2015-10-08,504,77,427,0.1527777777777778
2015-10-09,503,77,426,0.15308151093439365
2015-10-12,503,77,426,0.15308151093439365
2015-10-13,503,77,426,0.15308151093439365
2015-10-14,503,77,426,0.15308151093439365
2015-10-15,503,77,426,0.15308151093439365
2015-10-16,503,77,426,0.15308151093439365
2015-10-19,503,77,426,0.15308151093439365
2015-10-20,503,77,426,0.15308151093439365
2015-10-21,503,77,426,0.15308151093439365
2015-10-22,503,77,426,0.15308151093439365
2015-10-23,503,77,426,0.15308151093439365
2015-10-26,503,77,426,0.15308151093439365
2015-10-27,503,77,426,0.15308151093439365
2015-10-28,503,77,426,0.15308151093439365
2015-10-29,503,77,426,0.15308151093439365
2015-10-30,503,77,426,0.15308151093439365
2015-11-02,504,77,427,0.1527777777777778
2015-11-03,503,77,426,0.15308151093439365
2015-11-04,503,77,426,0.15308151093439365
2015-11-05,503,77,426,0.15308151093439365
2015-11-06,503,77,426,0.15308151093439365
2015-11-09,503,77,426,0.15308151093439365
2015-11-10,504,77,427,0.1527777777777778
2015-11-11,504,77,427,0.1527777777777778
2015-11-12,504,77,427,0.1527777777777778
2015-11-13,504,77,427,0.1527777777777778
2015-11-16,504,77,427,0.1527777777777778
2015-11-17,504,77,427,0.1527777777777778
2015-11-18,504,77,427,0.1527777777777778
2015-11-19,503,77,426,0.15308151093439365
2015-11-20,503,77,426,0.15308151093439365
2015-11-23,503,77,426,0.15308151093439365
2015-11-24,503,77,426,0.15308151093439365
2015-11-25,503,77,426,0.15308151093439365
2015-11-27,503,77,426,0.15308151093439365
2015-11-30,504,77,427,0.1527777777777778
2015-12-01,504,77,427,0.1527777777777778
2015-12-02,503,77,426,0.15308151093439365
2015-12-03,503,77,426,0.15308151093439365
2015-12-04,503,77,426,0.15308151093439365
2015-12-07,503,77,426,0.15308151093439365
2015-12-08,503,77,426,0.15308151093439365
2015-12-09,503,77,426,0.15308151093439365
2015-12-10,503,77,426,0.15308151093439365
2015-12-11,503,77,426,0.15308151093439365
2015-12-14,503,77,426,0.15308151093439365
2015-12-15,502,77,425,0.15338645418326693
2015-12-16,502,77,425,0.15338645418326693
2015-12-17,502,77,425,0.15338645418326693
2015-12-18,502,77,425,0.15338645418326693
2015-12-21,502,77,425,0.15338645418326693
2015-12-22,502,77,425,0.15338645418326693
2015-12-23,502,77,425,0.15338645418326693
2015-12-24,502,77,425,0.15338645418326693
2015-12-28,502,77,425,0.15338645418326693
2015-12-29,502,77,425,0.15338645418326693
2015-12-30,502,77,425,0.15338645418326693
2015-12-31,502,77,425,0.15338645418326693
2016-01-04,504,77,427,0.1527777777777778
2016-01-05,505,77,428,0.15247524752475247
2016-01-06,504,77,427,0.1527777777777778
2016-01-07,504,77,427,0.1527777777777778
2016-01-08,504,77,427,0.1527777777777778
2016-01-11,504,77,427,0.1527777777777778
2016-01-12,504,77,427,0.1527777777777778
2016-01-13,504,77,427,0.1527777777777778
2016-01-14,504,77,427,0.1527777777777778
2016-01-15,504,77,427,0.1527777777777778
2016-01-19,505,77,428,0.15247524752475247
2016-01-20,505,77,428,0.15247524752475247
2016-01-21,505,77,428,0.15247524752475247
2016-01-22,505,77,428,0.15247524752475247
2016-01-25,505,77,428,0.15247524752475247
2016-01-26,505,77,428,0.15247524752475247
2016-01-27,505,77,428,0.15247524752475247
2016-01-28,505,77,428,0.15247524752475247
2016-01-29,505,77,428,0.15247524752475247
2016-02-01,507,77,430,0.15187376725838264
2016-02-02,505,77,428,0.15247524752475247
2016-02-03,505,77,428,0.15247524752475247
2016-02-04,505,77,428,0.15247524752475247
2016-02-05,505,77,428,0.15247524752475247
2016-02-08,505,77,428,0.15247524752475247
2016-02-09,505,77,428,0.15247524752475247
2016-02-10,505,77,428,0.15247524752475247
2016-02-11,505,77,428,0.15247524752475247
2016-02-12,505,77,428,0.15247524752475247
2016-02-16,505,77,428,0.15247524752475247
2016-02-17,505,77,428,0.15247524752475247
2016-02-18,505,77,428,0.15247524752475247
2016-02-19,505,77,428,0.15247524752475247
2016-02-22,506,77,429,0.15217391304347827
2016-02-23,505,77,428,0.15247524752475247
2016-02-24,505,77,428,0.15247524752475247
2016-02-25,505,77,428,0.15247524752475247
2016-02-26,505,77,428,0.15247524752475247
2016-02-29,505,77,428,0.15247524752475247
2016-03-01,505,77,428,0.15247524752475247
2016-03-02,505,77,428,0.15247524752475247
2016-03-03,505,77,428,0.15247524752475247
2016-03-04,505,77,428,0.15247524752475247
2016-03-07,505,77,428,0.15247524752475247
2016-03-08,505,77,428,0.15247524752475247
2016-03-09,505,77,428,0.15247524752475247
2016-03-10,505,77,428,0.15247524752475247
2016-03-11,505,77,428,0.15247524752475247
2016-03-14,505,77,428,0.15247524752475247
2016-03-15,505,77,428,0.15247524752475247
2016-03-16,505,77,428,0.15247524752475247
2016-03-17,505,77,428,0.15247524752475247
2016-03-18,505,77,428,0.15247524752475247
2016-03-21,505,77,428,0.15247524752475247
2016-03-22,505,77,428,0.15247524752475247
2016-03-23,505,77,428,0.15247524752475247
2016-03-24,505,77,428,0.15247524752475247
2016-03-28,504,77,427,0.1527777777777778
2016-03-29,504,77,427,0.1527777777777778
2016-03-30,506,77,429,0.15217391304347827
2016-03-31,505,77,428,0.15247524752475247
2016-04-01,505,77,428,0.15247524752475247
2016-04-04,506,77,429,0.15217391304347827
2016-04-05,505,77,428,0.15247524752475247
2016-04-06,505,77,428,0.15247524752475247
2016-04-07,505,77,428,0.15247524752475247
2016-04-08,506,77,429,0.15217391304347827
2016-04-11,506,77,429,0.15217391304347827
2016-04-12,506,77,429,0.15217391304347827
2016-04-13,506,77,429,0.15217391304347827
2016-04-14,506,77,429,0.15217391304347827
2016-04-15,506,77,429,0.15217391304347827
2016-04-18,507,77,430,0.15187376725838264
2016-04-19,506,77,429,0.15217391304347827
2016-04-20,506,77,429,0.15217391304347827
2016-04-21,506,77,429,0.15217391304347827
2016-04-22,506,77,429,0.15217391304347827
2016-04-25,507,77,430,0.15187376725838264
2016-04-26,506,77,429,0.15217391304347827
2016-04-27,506,77,429,0.15217391304347827
