symbol
A
AABA
AAL
AAP
ABC
ABMD
ABNB
ACGL
ADI
ADM
ADS
ADSK
ADT
AEE
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALTR
ALXN
AMCR
AME
AMG
AMP
AMTM
AN
ANDV
ANET
ANSS
ANTM
AON
AOS
APA
APC
APD
APH
APO
APP
APTV
ARE
ARES
ARG
ARNC
ATI
ATO
ATVI
AVB
AVP
AVY
AWK
AXON
AYI
AZO
BALL
BAX
BBBY
BBT
BBWI
BBY
BCR
BDX
BEN
BF-B
BG
BHF
BHGE
BIIB
BIO
BK
BKR
BLDR
BLL
BR
BRCM
BRK-B
BRO
BSX
BWA
BX
BXLT
BXP
CA
CAG
CAH
CAM
CARR
CB
CBOE
CBRE
CBS
CCE
CCEP
CCI
CCL
CDAY
CDNS
CDW
CE
CEG
CELG
CERN
CF
CFG
CFN
CHD
CHK
CHRW
CHTR
CINF
CL
CLX
CMA
CMCSK
CME
CMG
CMI
CMS
CNC
CNP
CNX
COF
COG
COIN
COL
COO
COR
COTY
COV
CPAY
CPB
CPGX
CPRI
CPRT
CPT
CRH
CRL
CRWD
CSGP
CSRA
CSX
CTAS
CTL
CTLT
CTRA
CTSH
CTVA
CTXS
CVC
CVNA
CXO
CZR
D
DAL
DASH
DAY
DD
DDOG
DECK
DELL
DFS
DG
DGX
DHI
DHR
DISCA
DISCK
DISH
DLR
DLTR
DNB
DNR
DO
DOC
DOV
DOW
DPZ
DRE
DRI
DTE
DTV
DUK
DVA
DVN
DWDP
DXC
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
EMC
EME
EMN
EMR
ENDP
ENPH
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESRX
ESS
ESV
ETFC
ETN
ETR
ETSY
EVHC
EVRG
EW
EXC
EXE
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCPT
FCX
FDO
FDS
FDX
FE
FFIV
FI
FICO
FIS
FISV
FITB
FIX
FL
FLIR
FLR
FLS
FLT
FMC
FOSL
FOX
FOXA
FRC
FRT
FSLR
FTI
FTNT
FTR
FTV
GAS
GD
GDDY
GEHC
GEN
GEV
GGP
GIS
GL
GLW
GM
GMCR
GME
GNRC
GNW
GOOG
GPC
GPN
GPS
GRMN
GT
GWW
HAL
HAR
HAS
HBAN
HBI
HCA
HCBK
HCP
HES
HFC
HIG
HII
HLT
HOG
HOLX
HOOD
HOT
HP
HPE
HPQ
HRB
HRL
HRS
HSIC
HSP
HST
HSY
HUBB
HUM
HWM
IBKR
ICE
IDXX
IEX
IFF
ILMN
INCY
INFO
INVH
IP
IPG
IPGP
IQV
IR
IRM
IT
ITW
IVZ
J
JBHT
JBL
JCI
JEC
JEF
JKHY
JNPR
JOY
JWN
K
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KORS
KR
KRFT
KSS
KSU
KVUE
L
LB
LDOS
LEG
LEN
LH
LHX
LII
LKQ
LLL
LLTC
LM
LMT
LNC
LNT
LO
LULU
LUMN
LUV
LVLT
LVS
LW
LYB
LYV
M
MAA
MAC
MAR
MAS
MAT
MCHP
MCK
MCO
MET
MGM
MHK
MJN
MKC
MKTX
MLM
MMC
MMM
MNK
MNST
MOH
MON
MOS
MPC
MPWR
MRNA
MRO
MRSH
MS
MSCI
MSI
MTB
MTCH
MTD
MU
MUR
MWV
MXIM
MYL
NAVI
NBL
NBR
NCLH
NDAQ
NDSN
NE
NEM
NFX
NI
NKTR
NLOK
NLSN
NOC
NOV
NRG
NSC
NTAP
NTRS
NUE
NVR
NWL
NWS
NWSA
NXPI
O
ODFL
OGN
OI
OKE
OMC
ON
ORLY
OTIS
OXY
PANW
PARA
PAYC
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCP
PDCO
PEAK
PEG
PENN
PETM
PFG
PGR
PH
PHM
PKG
PKI
PLL
PLTR
PNC
PNR
PNW
PODD
POM
POOL
PPG
PPL
PRGO
PRU
PSA
PSKY
PSX
PTC
PVH
PWR
PX
PXD
PYPL
Q
QEP
QRVO
R
RAI
RCL
RE
REG
REGN
RF
RHI
RHT
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RSG
RTN
RVTY
SBAC
SBNY
SCG
SE
SEDG
SEE
SHW
SIAL
SIG
SIVB
SJM
SLB
SLG
SMCI
SNA
SNDK
SNI
SNPS
SOLS
SOLV
SPG
SPGI
SPLS
SRCL
SRE
STE
STI
STJ
STLD
STT
STX
STZ
SW
SWK
SWKS
SWN
SWY
SYF
SYMC
SYY
TAP
TDC
TDG
TDY
TE
TECH
TEG
TEL
TER
TFC
TFX
TGNA
TGT
THC
TIF
TJX
TKO
TMK
TMUS
TPL
TPR
TRGP
TRIP
TRMB
TROW
TRV
TSCO
TSN
TSS
TT
TTD
TTWO
TWC
TWTR
TWX
TXT
TYL
UA
UAA
UAL
UBER
UDR
UHS
ULTA
UNM
UNP
URBN
URI
UTX
VAR
VFC
VIAB
VIAC
VICI
VLO
VLTO
VMC
VNO
VNT
VRSK
VRSN
VRTX
VST
VTR
VTRS
WAB
WAT
WBA
WBD
WCG
WDAY
WDC
WEC
WELL
WFC
WFM
WHR
WIN
WLTW
WM
WMB
WRB
WRK
WSM
WST
WTW
WU
WY
WYND
WYNN
XEC
XEL
XL
XLNX
XRAY
XRX
XYL
XYZ
YUM
ZBH
ZBRA
ZION
ZTS
