decision_time,execution_time,active_symbols,benchmark_weight,active_weight,turnover_distance,execution_cost,target_weights
2022-04-04T13:30:00+00:00,2022-04-05T13:30:00+00:00,COP;CVX;XOM,0.9473684210526315,0.052631578947368474,0.052631578947368446,2.0128551002601345,"{""COP"": 0.021052631578947368, ""CVX"": 0.011981133817852355, ""VOO"": 0.9473684210526315, ""XOM"": 0.019597813550568697}"
2022-07-06T13:30:00+00:00,2022-07-07T13:30:00+00:00,COP;LRCX;META,0.9473684210526315,0.052631578947368474,0.03636063950833053,1.1869158333096372,"{""COP"": 0.021052631578947368, ""LRCX"": 0.021052631578947368, ""META"": 0.010526315789473686, ""VOO"": 0.9473684210526315}"
2022-10-04T13:30:00+00:00,2022-10-05T13:30:00+00:00,ADBE;AMD;META,0.9473684210526315,0.052631578947368474,0.050468583118659156,1.615008102382749,"{""ADBE"": 0.021052631578947368, ""AMD"": 0.010526315789473686, ""META"": 0.021052631578947368, ""VOO"": 0.9473684210526315}"
