variant,fold,candidate_universe,horizon_bars,sleeve_fraction,top_k,max_name_weight,rebalance_every,min_score_z,max_candidate_vol,max_benchmark_vol,high_vol_scale,max_benchmark_drawdown,drawdown_scale,test_start,test_end,total_return,benchmark_return,excess_return,sharpe,benchmark_sharpe,max_drawdown,benchmark_max_drawdown,turnover,total_cost,num_orders,num_alpha_symbols_traded,mean_selected_forward_excess,average_sleeve_scale,validation_rank_ic,validation_top_minus_universe,status,model_file
stocks_h63_s15_top3_reb63_z10,2019,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2019-01-02T14:30:00+00:00,2019-12-31T14:30:00+00:00,0.3193588854884435,0.31262216009475696,0.006736725393686527,2.4933949133224065,2.5223579810942045,0.06798584835506871,0.06639488918667835,0.5695072459300127,11.390144918600255,18,9,-0.01980729288453612,1.0,-0.03398191962249177,0.010417489777485096,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2019/model.txt
stocks_h63_s15_top3_reb63_z10,2020,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2020-01-02T14:30:00+00:00,2020-12-31T14:30:00+00:00,0.19506012798500305,0.17285507945467926,0.02220504853032379,0.5620099681248877,0.5025211842894979,0.339929967930949,0.339929967930949,0.35583203226005927,7.116640645201184,16,7,0.08230734115411416,1.0,0.05277481305945861,0.0625219116140293,candidate,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2020/model.txt
stocks_h63_s15_top3_reb63_z10,2021,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2021-01-04T14:30:00+00:00,2021-12-31T14:30:00+00:00,0.32309499735748637,0.3056474089753358,0.017447588382150547,2.4548683740318715,2.388455854633355,0.04627890559055392,0.05093772757051862,0.4989812522721625,9.979625045443253,17,8,0.014267602888711796,1.0,0.09097839004598328,0.037859930527061166,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2021/model.txt
stocks_h63_s15_top3_reb63_z10,2022,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2022-01-03T14:30:00+00:00,2022-12-30T14:30:00+00:00,-0.17716607444329713,-0.18673284519484412,0.009566770751546994,-0.7262096704594931,-0.7783604725523966,0.23653311094857277,0.24520729135681807,0.3583223534919965,7.16644706983993,16,7,0.003596875264715977,1.0,-0.03515094671261409,0.0042165598887842345,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2022/model.txt
stocks_h63_s15_top3_reb63_z10,2023,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2023-01-03T14:30:00+00:00,2023-12-29T14:30:00+00:00,0.2918020398205068,0.26811131496023655,0.02369072486027024,2.190890171676579,2.0866651414316753,0.09668217287744241,0.09964942715863256,0.45471920568011015,9.094384113602205,16,6,0.12470632555250055,1.0,-0.04321788027143195,-0.0033071293505424924,research_only_weak_validation,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2023/model.txt
stocks_h63_s15_top3_reb63_z10,2024,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2024-01-02T14:30:00+00:00,2024-12-31T14:30:00+00:00,0.29094129102433297,0.2577941551577565,0.03314713586657647,2.144961844589849,2.0607682828998826,0.092740425089758,0.08446361770731248,0.4190712105080873,8.381424210161745,15,6,0.0004476310145804148,1.0,0.08531445916928461,0.027659277068728658,candidate,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2024/model.txt
stocks_h63_s15_top3_reb63_z10,2025,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2025-01-02T14:30:00+00:00,2025-12-31T14:30:00+00:00,0.22238822146087456,0.18119294806245856,0.041195273398416,1.153425815310617,0.9905910256209634,0.1888930488579168,0.1868940331170753,0.4446998770094764,8.893997540189527,16,7,0.14176264234533764,1.0,0.06459147794397213,0.04522655731578875,candidate,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2025/model.txt
stocks_h63_s15_top3_reb63_z10,2026,stocks,63,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2026-01-02T14:30:00+00:00,2026-06-01T13:30:00+00:00,0.15003787578256023,0.11332340967682053,0.036714466105739696,2.8081818200390134,2.277587213450763,0.08900459567555807,0.08900459567555807,0.15627376042802327,3.1254752085604656,4,3,0.08660526245031021,1.0,0.07229801280360018,0.04711524268639802,research_only_insufficient_breadth,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h63_s15_top3_reb63_z10/2026/model.txt
stocks_h126_s10_top3_reb63_z10,2018,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2018-01-02T14:30:00+00:00,2018-12-31T14:30:00+00:00,-0.05104588122980358,-0.0519636993578424,0.0009178181280388165,-0.2941432509714041,-0.3076769643039631,0.20435379066033976,0.19476757151899193,0.2910070715629094,5.820141431258188,16,7,-0.08147115202260817,1.0,0.1225772868351684,0.06915269404801956,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2018/model.txt
stocks_h126_s10_top3_reb63_z10,2019,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2019-01-02T14:30:00+00:00,2019-12-31T14:30:00+00:00,0.3232292261542493,0.31262216009475696,0.010607066059492354,2.5285912770930943,2.5223579810942045,0.07142933772994542,0.06639488918667835,0.3233421703014008,6.4668434060280156,17,8,0.035397827081842734,1.0,-0.13298300717545333,-0.023673391107845124,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2019/model.txt
