decision_time,rank,symbol,score,score_z,target_weight,vol_20,sleeve_scale,benchmark_vol_20,benchmark_drawdown,risk_reasons,label_excess
2022-01-03T14:30:00+00:00,1,BA,0.14145522779292105,2.4794525356311286,0.05,0.35749014544626234,1.0,0.0,0.0,,-0.22227497202781096
2022-01-03T14:30:00+00:00,2,AMD,0.1247042368750216,2.2289638862971732,0.05,0.591753076174621,1.0,0.0,0.0,,-0.4791298372278704
2022-01-03T14:30:00+00:00,3,NVDA,0.1247042368750216,2.2289638862971732,0.04999999999999999,0.628500208499682,1.0,0.0,0.0,,-0.47725465876789586
2022-04-04T13:30:00+00:00,1,ADBE,0.164250207861412,2.687460039347087,0.05,0.5590733555645762,1.0,0.19223887623018882,-0.040553716809252016,,-0.28599980446085804
2022-04-04T13:30:00+00:00,2,BA,0.14145522779292105,2.3419883660984917,0.05,0.3346822076305537,1.0,0.19223887623018882,-0.040553716809252016,,-0.17285613128595967
2022-04-04T13:30:00+00:00,3,LRCX,0.13383122266756997,2.2264419694972655,0.04999999999999999,0.5004936917953109,1.0,0.19223887623018882,-0.040553716809252016,,-0.0915763389608567
2022-07-06T13:30:00+00:00,1,INTC,0.164250207861412,1.8423451631182353,0.05,0.34989046875576385,1.0,0.2890725705262583,-0.14683431758352317,,
2022-07-06T13:30:00+00:00,2,CSCO,0.164250207861412,1.8423451631182353,0.05,0.21181007490894194,1.0,0.2890725705262583,-0.14683431758352317,,
2022-07-06T13:30:00+00:00,3,MSFT,0.164250207861412,1.8423451631182353,0.04999999999999999,0.37585684924332524,1.0,0.2890725705262583,-0.14683431758352317,,
2022-10-04T13:30:00+00:00,1,ADBE,0.164250207861412,2.1368938142935154,0.05,0.7638993278454208,1.0,0.28508604932849696,-0.11720959490314697,,
2022-10-04T13:30:00+00:00,2,AMD,0.164250207861412,2.1368938142935154,0.05,0.5676863725301798,1.0,0.28508604932849696,-0.11720959490314697,,
2022-10-04T13:30:00+00:00,3,NVDA,0.164250207861412,2.1368938142935154,0.04999999999999999,0.5433511414068211,1.0,0.28508604932849696,-0.11720959490314697,,
